Checker,Path,Line,Column,Message,Tool,End_Line,End_Column,tool,checker,rule
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1912,17,"statement should be inside braces",clang_tidy_oss,1912,17,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1913,15,"the value returned by this function should be used",clang_tidy_oss,1913,15,clang_tidy_oss,cert-err33-c,ERR33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1915,25,"statement should be inside braces",clang_tidy_oss,1915,25,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1916,15,"the value returned by this function should be used",clang_tidy_oss,1916,15,clang_tidy_oss,cert-err33-c,ERR33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1917,17,"statement should be inside braces",clang_tidy_oss,1917,17,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1918,15,"the value returned by this function should be used",clang_tidy_oss,1918,15,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1923,7,"the value returned by this function should be used",clang_tidy_oss,1923,7,clang_tidy_oss,cert-err33-c,ERR33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1924,19,"statement should be inside braces",clang_tidy_oss,1924,19,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1925,9,"the value returned by this function should be used",clang_tidy_oss,1925,9,clang_tidy_oss,cert-err33-c,ERR33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1926,11,"statement should be inside braces",clang_tidy_oss,1926,11,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1927,9,"the value returned by this function should be used",clang_tidy_oss,1927,9,clang_tidy_oss,cert-err33-c,ERR33-C
bugprone-easily-swappable-parameters,common.c,1932,46,"2 adjacent parameters of 'print_messages_info' of similar type ('const char *') are easily swapped by mistake",clang_tidy_oss,1932,85,clang_tidy_oss,bugprone-easily-swappable-parameters,NONE
hicpp-signed-bitwise,common.c,1934,7,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1934,19,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
cert-err33-c,common.c,1936,7,"the value returned by this function should be used",clang_tidy_oss,1936,7,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1937,7,"the value returned by this function should be used",clang_tidy_oss,1937,7,clang_tidy_oss,cert-err33-c,ERR33-C
hicpp-signed-bitwise,common.c,1939,14,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1939,26,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
cert-err33-c,common.c,1941,7,"the value returned by this function should be used",clang_tidy_oss,1941,7,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1942,7,"the value returned by this function should be used",clang_tidy_oss,1942,7,clang_tidy_oss,cert-err33-c,ERR33-C
hicpp-signed-bitwise,common.c,1945,14,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1945,26,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
cert-err33-c,common.c,1947,7,"the value returned by this function should be used",clang_tidy_oss,1947,7,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1948,7,"the value returned by this function should be used",clang_tidy_oss,1948,7,clang_tidy_oss,cert-err33-c,ERR33-C
readability-function-cognitive-complexity,common.c,1954,6,"function 'printInfo' has cognitive complexity of 52 (threshold 25)",clang_tidy_oss,1954,6,clang_tidy_oss,readability-function-cognitive-complexity,NONE
bugprone-easily-swappable-parameters,common.c,1954,53,"4 adjacent parameters of 'printInfo' of convertible types are easily swapped by mistake",clang_tidy_oss,1954,127,clang_tidy_oss,bugprone-easily-swappable-parameters,NONE
hicpp-signed-bitwise,common.c,1958,7,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1958,23,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1959,66,"statement should be inside braces",clang_tidy_oss,1959,66,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1961,110,"statement should be inside braces",clang_tidy_oss,1961,110,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1963,66,"statement should be inside braces",clang_tidy_oss,1963,66,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
hicpp-signed-bitwise,common.c,1965,34,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1965,47,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1965,64,"statement should be inside braces",clang_tidy_oss,1965,64,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
hicpp-signed-bitwise,common.c,1969,8,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1969,24,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
hicpp-signed-bitwise,common.c,1970,9,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1970,25,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1970,38,"statement should be inside braces",clang_tidy_oss,1970,38,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1971,7,"the value returned by this function should be used",clang_tidy_oss,1971,7,clang_tidy_oss,cert-err33-c,ERR33-C
hicpp-signed-bitwise,common.c,1972,9,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1972,25,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1972,39,"statement should be inside braces",clang_tidy_oss,1972,39,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1973,7,"the value returned by this function should be used",clang_tidy_oss,1973,7,clang_tidy_oss,cert-err33-c,ERR33-C
hicpp-signed-bitwise,common.c,1974,9,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1974,25,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1974,38,"statement should be inside braces",clang_tidy_oss,1974,38,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1975,7,"the value returned by this function should be used",clang_tidy_oss,1975,7,clang_tidy_oss,cert-err33-c,ERR33-C
hicpp-signed-bitwise,common.c,1976,9,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1976,25,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1976,38,"statement should be inside braces",clang_tidy_oss,1976,38,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1977,7,"the value returned by this function should be used",clang_tidy_oss,1977,7,clang_tidy_oss,cert-err33-c,ERR33-C
hicpp-signed-bitwise,common.c,1978,9,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1978,25,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1978,39,"statement should be inside braces",clang_tidy_oss,1978,39,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1979,7,"the value returned by this function should be used",clang_tidy_oss,1979,7,clang_tidy_oss,cert-err33-c,ERR33-C
hicpp-signed-bitwise,common.c,1981,11,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1981,27,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1981,44,"statement should be inside braces",clang_tidy_oss,1981,44,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1982,9,"the value returned by this function should be used",clang_tidy_oss,1982,9,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1983,7,"the value returned by this function should be used",clang_tidy_oss,1983,7,clang_tidy_oss,cert-err33-c,ERR33-C
hicpp-signed-bitwise,common.c,1985,9,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1985,25,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1985,41,"statement should be inside braces",clang_tidy_oss,1985,41,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1987,9,"statement should be inside braces",clang_tidy_oss,1987,9,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1988,7,"the value returned by this function should be used",clang_tidy_oss,1988,7,clang_tidy_oss,cert-err33-c,ERR33-C
hicpp-signed-bitwise,common.c,1992,7,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1992,23,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1992,36,"statement should be inside braces",clang_tidy_oss,1992,36,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1993,5,"the value returned by this function should be used",clang_tidy_oss,1993,5,clang_tidy_oss,cert-err33-c,ERR33-C
hicpp-signed-bitwise,common.c,1994,7,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1994,23,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1994,37,"statement should be inside braces",clang_tidy_oss,1994,37,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1995,5,"the value returned by this function should be used",clang_tidy_oss,1995,5,clang_tidy_oss,cert-err33-c,ERR33-C
hicpp-signed-bitwise,common.c,1996,7,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1996,23,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1996,36,"statement should be inside braces",clang_tidy_oss,1996,36,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1997,5,"the value returned by this function should be used",clang_tidy_oss,1997,5,clang_tidy_oss,cert-err33-c,ERR33-C
hicpp-signed-bitwise,common.c,1998,7,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1998,23,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1998,36,"statement should be inside braces",clang_tidy_oss,1998,36,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
hicpp-signed-bitwise,common.c,2000,7,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,2000,23,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
hicpp-signed-bitwise,common.c,2001,9,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,2001,22,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,2001,38,"statement should be inside braces",clang_tidy_oss,2001,38,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,2002,7,"the value returned by this function should be used",clang_tidy_oss,2002,7,clang_tidy_oss,cert-err33-c,ERR33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,2003,9,"statement should be inside braces",clang_tidy_oss,2003,9,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,2004,7,"the value returned by this function should be used",clang_tidy_oss,2004,7,clang_tidy_oss,cert-err33-c,ERR33-C
cppcoreguidelines-init-variables,common.c,2007,17,"variable 'ptr' is not initialized",clang_tidy_oss,2007,17,clang_tidy_oss,cppcoreguidelines-init-variables,EXP33-C
hicpp-signed-bitwise,common.c,2008,10,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,2008,26,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
bugprone-assignment-in-if-condition,common.c,2008,49,"an assignment within an 'if' condition is bug-prone",clang_tidy_oss,2008,49,clang_tidy_oss,bugprone-assignment-in-if-condition,EXP45-C
bugprone-assignment-in-if-condition,common.c,2008,90,"an assignment within an 'if' condition is bug-prone",clang_tidy_oss,2008,90,clang_tidy_oss,bugprone-assignment-in-if-condition,EXP45-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,2008,129,"statement should be inside braces",clang_tidy_oss,2008,129,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,2010,9,"statement should be inside braces",clang_tidy_oss,2010,9,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
hicpp-signed-bitwise,common.c,2012,9,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,2012,25,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,2012,42,"statement should be inside braces",clang_tidy_oss,2012,42,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,2013,7,"the value returned by this function should be used",clang_tidy_oss,2013,7,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,2014,5,"the value returned by this function should be used",clang_tidy_oss,2014,5,clang_tidy_oss,cert-err33-c,ERR33-C
hicpp-signed-bitwise,common.c,2016,7,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,2016,23,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,2016,39,"statement should be inside braces",clang_tidy_oss,2016,39,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,2018,7,"statement should be inside braces",clang_tidy_oss,2018,7,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,2019,5,"the value returned by this function should be used",clang_tidy_oss,2019,5,clang_tidy_oss,cert-err33-c,ERR33-C
cppcoreguidelines-init-variables,common.c,2025,10,"variable 'TempChar' is not initialized",clang_tidy_oss,2025,10,clang_tidy_oss,cppcoreguidelines-init-variables,EXP33-C
altera-unroll-loops,common.c,2033,3,"kernel performance could be improved by unrolling this loop with a '#pragma unroll' directive",clang_tidy_oss,2033,3,clang_tidy_oss,altera-unroll-loops,NONE
altera-id-dependent-backward-branch,common.c,2033,10,"backward branch (while loop) is ID-dependent due to variable reference to 'TempChar' and may cause performance degradation",clang_tidy_oss,2033,10,clang_tidy_oss,altera-id-dependent-backward-branch,NONE
"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",common.c,2034,22,"32 is a magic number; consider replacing it with a named constant",clang_tidy_oss,2034,22,clang_tidy_oss,"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",DCL06-C
"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",common.c,2035,22,"0x0a is a magic number; consider replacing it with a named constant",clang_tidy_oss,2035,22,clang_tidy_oss,"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",DCL06-C
"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",common.c,2036,22,"0x0d is a magic number; consider replacing it with a named constant",clang_tidy_oss,2036,22,clang_tidy_oss,"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",DCL06-C
"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",common.c,2037,22,"0x09 is a magic number; consider replacing it with a named constant",clang_tidy_oss,2037,22,clang_tidy_oss,"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",DCL06-C
"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",common.c,2038,22,"0x0c is a magic number; consider replacing it with a named constant",clang_tidy_oss,2038,22,clang_tidy_oss,"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",DCL06-C
hicpp-signed-bitwise,common.c,2039,7,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,2039,20,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",common.c,2041,21,"0x0a is a magic number; consider replacing it with a named constant",clang_tidy_oss,2041,21,clang_tidy_oss,"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",DCL06-C
"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",common.c,2043,23,"0x0d is a magic number; consider replacing it with a named constant",clang_tidy_oss,2043,23,clang_tidy_oss,"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",DCL06-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,2043,28,"statement should be inside braces",clang_tidy_oss,2043,28,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",common.c,2047,28,"0x0d is a magic number; consider replacing it with a named constant",clang_tidy_oss,2047,28,clang_tidy_oss,"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",DCL06-C
concurrency-mt-unsafe,common.c,2060,28,"function is not thread safe",clang_tidy_oss,2060,28,clang_tidy_oss,concurrency-mt-unsafe,CON33-C
cert-err33-c,common.c,2061,7,"the value returned by this function should be used",clang_tidy_oss,2061,7,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,2062,7,"the value returned by this function should be used",clang_tidy_oss,2062,7,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,2063,7,"the value returned by this function should be used",clang_tidy_oss,2063,7,clang_tidy_oss,cert-err33-c,ERR33-C
cppcoreguidelines-init-variables,common.c,2075,7,"variable 'TempChar' is not initialized",clang_tidy_oss,2075,7,clang_tidy_oss,cppcoreguidelines-init-variables,EXP33-C
altera-unroll-loops,common.c,2083,3,"kernel performance could be improved by unrolling this loop with a '#pragma unroll' directive",clang_tidy_oss,2083,3,clang_tidy_oss,altera-unroll-loops,NONE
altera-id-dependent-backward-branch,common.c,2083,10,"backward branch (while loop) is ID-dependent due to variable reference to 'TempChar' and may cause performance degradation",clang_tidy_oss,2083,10,clang_tidy_oss,altera-id-dependent-backward-branch,NONE
"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",common.c,2084,22,"32 is a magic number; consider replacing it with a named constant",clang_tidy_oss,2084,22,clang_tidy_oss,"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",DCL06-C
hicpp-signed-bitwise,common.c,2089,7,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,2089,20,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,2093,30,"statement should be inside braces",clang_tidy_oss,2093,30,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
concurrency-mt-unsafe,common.c,2110,28,"function is not thread safe",clang_tidy_oss,2110,28,clang_tidy_oss,concurrency-mt-unsafe,CON33-C
cert-err33-c,common.c,2111,7,"the value returned by this function should be used",clang_tidy_oss,2111,7,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,2112,7,"the value returned by this function should be used",clang_tidy_oss,2112,7,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,2113,7,"the value returned by this function should be used",clang_tidy_oss,2113,7,clang_tidy_oss,cert-err33-c,ERR33-C
hicpp-signed-bitwise,common.c,2130,5,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,2130,18,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
hicpp-signed-bitwise,common.c,2137,5,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,2137,18,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
concurrency-mt-unsafe,common.c,2147,28,"function is not thread safe",clang_tidy_oss,2147,28,clang_tidy_oss,concurrency-mt-unsafe,CON33-C
cert-err33-c,common.c,2149,7,"the value returned by this function should be used",clang_tidy_oss,2149,7,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,2150,7,"the value returned by this function should be used",clang_tidy_oss,2150,7,clang_tidy_oss,cert-err33-c,ERR33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,2173,61,"statement should be inside braces",clang_tidy_oss,2173,61,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,2200,66,"statement should be inside braces",clang_tidy_oss,2200,66,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cppcoreguidelines-init-variables,common.c,2219,9,"variable 'ptr' is not initialized",clang_tidy_oss,2219,9,clang_tidy_oss,cppcoreguidelines-init-variables,EXP33-C
hicpp-signed-bitwise,common.c,2225,5,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,2225,20,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
altera-unroll-loops,common.c,2229,3,"kernel performance could be improved by unrolling this loop with a '#pragma unroll' directive",clang_tidy_oss,2229,3,clang_tidy_oss,altera-unroll-loops,NONE
altera-id-dependent-backward-branch,common.c,2229,10,"backward branch (while loop) is ID-dependent due to variable reference to 'ptr' and may cause performance degradation",clang_tidy_oss,2229,10,clang_tidy_oss,altera-id-dependent-backward-branch,NONE
hicpp-signed-bitwise,common.c,2232,9,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,2232,24,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
hicpp-signed-bitwise,common.c,2235,9,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,2235,24,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
hicpp-signed-bitwise,common.c,2239,9,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,2239,24,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
hicpp-signed-bitwise,common.c,2243,9,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,2243,24,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
hicpp-signed-bitwise,common.c,2247,9,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,2247,24,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
hicpp-signed-bitwise,common.c,2251,9,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,2251,24,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
hicpp-signed-bitwise,common.c,2255,9,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,2255,24,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
hicpp-signed-bitwise,common.c,2259,9,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,2259,24,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
hicpp-signed-bitwise,common.c,2262,9,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,2262,24,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
cert-err33-c,common.c,2267,9,"the value returned by this function should be used",clang_tidy_oss,2267,9,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,2268,9,"the value returned by this function should be used",clang_tidy_oss,2268,9,clang_tidy_oss,cert-err33-c,ERR33-C
concurrency-mt-unsafe,common.c,2269,9,"function is not thread safe",clang_tidy_oss,2269,9,clang_tidy_oss,concurrency-mt-unsafe,CON33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,2274,20,"statement should be inside braces",clang_tidy_oss,2274,20,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
hicpp-signed-bitwise,common.c,2275,5,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,2275,20,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
readability-function-cognitive-complexity,common.c,2278,5,"function 'parse_options' has cognitive complexity of 148 (threshold 25)",clang_tidy_oss,2278,5,clang_tidy_oss,readability-function-cognitive-complexity,NONE
altera-unroll-loops,common.c,2328,3,"kernel performance could be improved by unrolling this loop with a '#pragma unroll' directive",clang_tidy_oss,2328,3,clang_tidy_oss,altera-unroll-loops,NONE
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,2334,42,"statement should be inside braces",clang_tidy_oss,2334,42,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,2341,93,"statement should be inside braces",clang_tidy_oss,2341,93,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,2343,93,"statement should be inside braces",clang_tidy_oss,2343,93,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,2345,90,"statement should be inside braces",clang_tidy_oss,2345,90,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,2348,58,"statement should be inside braces",clang_tidy_oss,2348,58,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,2350,61,"statement should be inside braces",clang_tidy_oss,2350,61,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
