Checker,Path,Line,Column,Message,Tool,End_Line,End_Column,tool,checker,rule
cert-err33-c,common.c,696,5,"the value returned by this function should be used",clang_tidy_oss,696,5,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,697,3,"the value returned by this function should be used",clang_tidy_oss,697,3,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,699,3,"the value returned by this function should be used",clang_tidy_oss,699,3,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,700,3,"the value returned by this function should be used",clang_tidy_oss,700,3,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,701,3,"the value returned by this function should be used",clang_tidy_oss,701,3,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,703,3,"the value returned by this function should be used",clang_tidy_oss,703,3,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,705,3,"the value returned by this function should be used",clang_tidy_oss,705,3,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,708,3,"the value returned by this function should be used",clang_tidy_oss,708,3,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,710,3,"the value returned by this function should be used",clang_tidy_oss,710,3,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,712,3,"the value returned by this function should be used",clang_tidy_oss,712,3,clang_tidy_oss,cert-err33-c,ERR33-C
bugprone-easily-swappable-parameters,common.c,717,19,"2 adjacent parameters of 'PrintVersion' of similar type ('const char *') are easily swapped by mistake",clang_tidy_oss,717,61,clang_tidy_oss,bugprone-easily-swappable-parameters,NONE
cert-err33-c,common.c,719,3,"the value returned by this function should be used",clang_tidy_oss,719,3,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,758,3,"the value returned by this function should be used",clang_tidy_oss,758,3,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,770,3,"the value returned by this function should be used",clang_tidy_oss,770,3,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,775,3,"the value returned by this function should be used",clang_tidy_oss,775,3,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,780,3,"the value returned by this function should be used",clang_tidy_oss,780,3,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,782,3,"the value returned by this function should be used",clang_tidy_oss,782,3,clang_tidy_oss,cert-err33-c,ERR33-C
android-cloexec-fopen,common.c,797,23,"use 'fopen' mode 'e' to set O_CLOEXEC",clang_tidy_oss,797,29,clang_tidy_oss,android-cloexec-fopen,NONE
android-cloexec-fopen,common.c,814,23,"use 'fopen' mode 'e' to set O_CLOEXEC",clang_tidy_oss,814,29,clang_tidy_oss,android-cloexec-fopen,NONE
readability-identifier-length,common.c,822,24,"parameter name 'fd' is too short, expected at least 3 characters",clang_tidy_oss,822,24,clang_tidy_oss,readability-identifier-length,NONE
readability-identifier-length,common.c,965,9,"variable name 'fp' is too short, expected at least 3 characters",clang_tidy_oss,965,9,clang_tidy_oss,readability-identifier-length,NONE
readability-identifier-length,common.c,969,7,"variable name 'fd' is too short, expected at least 3 characters",clang_tidy_oss,969,7,clang_tidy_oss,readability-identifier-length,NONE
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,974,12,"statement should be inside braces",clang_tidy_oss,974,12,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
concurrency-mt-unsafe,common.c,977,9,"function is not thread safe",clang_tidy_oss,977,9,clang_tidy_oss,concurrency-mt-unsafe,CON33-C
bugprone-assignment-in-if-condition,common.c,980,9,"an assignment within an 'if' condition is bug-prone",clang_tidy_oss,980,9,clang_tidy_oss,bugprone-assignment-in-if-condition,EXP45-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,980,48,"statement should be inside braces",clang_tidy_oss,980,48,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,982,3,"the value returned by this function should be used",clang_tidy_oss,982,50,clang_tidy_oss,cert-err33-c,ERR33-C
clang-analyzer-security.insecureAPI.DeprecatedOrUnsafeBufferHandling,common.c,982,3,"Call to function 'sprintf' is insecure as it does not provide bounding of the memory buffer or security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'sprintf_s' in case of C11",clang_tidy_oss,982,9,clang_tidy_oss,clang-analyzer-security.insecureAPI.DeprecatedOrUnsafeBufferHandling,MSC24-C
bugprone-assignment-in-if-condition,common.c,995,8,"an assignment within an 'if' condition is bug-prone",clang_tidy_oss,995,8,clang_tidy_oss,bugprone-assignment-in-if-condition,EXP45-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,995,39,"statement should be inside braces",clang_tidy_oss,995,39,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
bugprone-assignment-in-if-condition,common.c,998,8,"an assignment within an 'if' condition is bug-prone",clang_tidy_oss,998,8,clang_tidy_oss,bugprone-assignment-in-if-condition,EXP45-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,998,37,"statement should be inside braces",clang_tidy_oss,998,37,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cppcoreguidelines-init-variables,common.c,1033,15,"variable 'errstr' is not initialized",clang_tidy_oss,1033,15,clang_tidy_oss,cppcoreguidelines-init-variables,EXP33-C
concurrency-mt-unsafe,common.c,1039,16,"function is not thread safe",clang_tidy_oss,1039,16,clang_tidy_oss,concurrency-mt-unsafe,CON33-C
cert-err33-c,common.c,1040,7,"the value returned by this function should be used",clang_tidy_oss,1040,7,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1041,7,"the value returned by this function should be used",clang_tidy_oss,1041,7,clang_tidy_oss,cert-err33-c,ERR33-C
concurrency-mt-unsafe,common.c,1051,18,"function is not thread safe",clang_tidy_oss,1051,18,clang_tidy_oss,concurrency-mt-unsafe,CON33-C
cert-err33-c,common.c,1052,9,"the value returned by this function should be used",clang_tidy_oss,1052,9,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1053,9,"the value returned by this function should be used",clang_tidy_oss,1053,9,clang_tidy_oss,cert-err33-c,ERR33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1095,7,"statement should be inside braces",clang_tidy_oss,1095,7,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
readability-function-cognitive-complexity,common.c,1106,7,"function 'read_bom' has cognitive complexity of 64 (threshold 25)",clang_tidy_oss,1106,7,clang_tidy_oss,readability-function-cognitive-complexity,NONE
readability-identifier-length,common.c,1106,23,"parameter name 'f' is too short, expected at least 3 characters",clang_tidy_oss,1106,23,clang_tidy_oss,readability-identifier-length,NONE
bugprone-assignment-in-if-condition,common.c,1120,12,"an assignment within an 'if' condition is bug-prone",clang_tidy_oss,1120,12,clang_tidy_oss,bugprone-assignment-in-if-condition,EXP45-C
"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",common.c,1127,22,"0xff is a magic number; consider replacing it with a named constant",clang_tidy_oss,1127,22,clang_tidy_oss,"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",DCL06-C
"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",common.c,1127,42,"0xfe is a magic number; consider replacing it with a named constant",clang_tidy_oss,1127,42,clang_tidy_oss,"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",DCL06-C
"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",common.c,1127,62,"0xef is a magic number; consider replacing it with a named constant",clang_tidy_oss,1127,62,clang_tidy_oss,"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",DCL06-C
"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",common.c,1127,82,"0x84 is a magic number; consider replacing it with a named constant",clang_tidy_oss,1127,82,clang_tidy_oss,"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",DCL06-C
"hicpp-braces-around-statements,readability-braces-around-statements",common.c,1128,39,"statement should be inside braces",clang_tidy_oss,1128,39,clang_tidy_oss,"hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
bugprone-assignment-in-if-condition,common.c,1132,12,"an assignment within an 'if' condition is bug-prone",clang_tidy_oss,1132,12,clang_tidy_oss,bugprone-assignment-in-if-condition,EXP45-C
"hicpp-braces-around-statements,readability-braces-around-statements",common.c,1136,39,"statement should be inside braces",clang_tidy_oss,1136,39,clang_tidy_oss,"hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"hicpp-braces-around-statements,readability-braces-around-statements",common.c,1137,39,"statement should be inside braces",clang_tidy_oss,1137,39,clang_tidy_oss,"hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",common.c,1141,22,"0xff is a magic number; consider replacing it with a named constant",clang_tidy_oss,1141,22,clang_tidy_oss,"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",DCL06-C
"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",common.c,1141,42,"0xfe is a magic number; consider replacing it with a named constant",clang_tidy_oss,1141,42,clang_tidy_oss,"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",DCL06-C
"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",common.c,1145,22,"0xfe is a magic number; consider replacing it with a named constant",clang_tidy_oss,1145,22,clang_tidy_oss,"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",DCL06-C
"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",common.c,1145,42,"0xff is a magic number; consider replacing it with a named constant",clang_tidy_oss,1145,42,clang_tidy_oss,"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",DCL06-C
bugprone-assignment-in-if-condition,common.c,1149,12,"an assignment within an 'if' condition is bug-prone",clang_tidy_oss,1149,12,clang_tidy_oss,bugprone-assignment-in-if-condition,EXP45-C
