Checker	Path	Line	Column	Message	Tool	End_Line	End_Column
cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers	common.c	1127	42	0xfe is a magic number; consider replacing it with a named constant	clang_tidy	1127	42
cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers	common.c	1127	62	0xef is a magic number; consider replacing it with a named constant	clang_tidy	1127	62
cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers	common.c	1127	82	0x84 is a magic number; consider replacing it with a named constant	clang_tidy	1127	82
hicpp-braces-around-statements,readability-braces-around-statements	common.c	1128	39	statement should be inside braces	clang_tidy	1128	39
bugprone-assignment-in-if-condition	common.c	1132	12	an assignment within an 'if' condition is bug-prone	clang_tidy	1132	12
hicpp-braces-around-statements,readability-braces-around-statements	common.c	1136	39	statement should be inside braces	clang_tidy	1136	39
hicpp-braces-around-statements,readability-braces-around-statements	common.c	1137	39	statement should be inside braces	clang_tidy	1137	39
cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers	common.c	1141	22	0xff is a magic number; consider replacing it with a named constant	clang_tidy	1141	22
cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers	common.c	1141	42	0xfe is a magic number; consider replacing it with a named constant	clang_tidy	1141	42
cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers	common.c	1145	22	0xfe is a magic number; consider replacing it with a named constant	clang_tidy	1145	22
cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers	common.c	1145	42	0xff is a magic number; consider replacing it with a named constant	clang_tidy	1145	42
bugprone-assignment-in-if-condition	common.c	1149	12	an assignment within an 'if' condition is bug-prone	clang_tidy	1149	12
hicpp-braces-around-statements,readability-braces-around-statements	common.c	1153	39	statement should be inside braces	clang_tidy	1153	39
hicpp-braces-around-statements,readability-braces-around-statements	common.c	1154	39	statement should be inside braces	clang_tidy	1154	39
hicpp-braces-around-statements,readability-braces-around-statements	common.c	1155	39	statement should be inside braces	clang_tidy	1155	39
cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers	common.c	1159	22	0xef is a magic number; consider replacing it with a named constant	clang_tidy	1159	22
cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers	common.c	1159	42	0xbb is a magic number; consider replacing it with a named constant	clang_tidy	1159	42
cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers	common.c	1159	61	0xbf is a magic number; consider replacing it with a named constant	clang_tidy	1159	61
cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers	common.c	1163	22	0x84 is a magic number; consider replacing it with a named constant	clang_tidy	1163	22
cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers	common.c	1163	42	0x31 is a magic number; consider replacing it with a named constant	clang_tidy	1163	42
cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers	common.c	1163	61	0x95 is a magic number; consider replacing it with a named constant	clang_tidy	1163	61
cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers	common.c	1168	23	0x33 is a magic number; consider replacing it with a named constant	clang_tidy	1168	23
hicpp-braces-around-statements,readability-braces-around-statements	common.c	1172	39	statement should be inside braces	clang_tidy	1172	39
hicpp-braces-around-statements,readability-braces-around-statements	common.c	1174	36	statement should be inside braces	clang_tidy	1174	36
hicpp-braces-around-statements,readability-braces-around-statements	common.c	1175	36	statement should be inside braces	clang_tidy	1175	36
