Checker,Path,Line,Column,Message,tool,checker,rule
noExplicitConstructor,auxil/binpac/src/pac_action.h,64,2,"Class 'ActionParamType' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
missingOverride,auxil/binpac/src/pac_let.h,15,7,"The function 'Prepare' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
missingOverride,auxil/binpac/src/pac_let.h,17,7,"The function 'GenInitCode' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
missingOverride,auxil/binpac/src/pac_let.h,19,7,"The function 'GenEval' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
missingOverride,auxil/binpac/src/pac_let.h,21,7,"The function 'RequiresAnalyzerContext' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
missingOverride,auxil/binpac/src/pac_let.h,24,7,"The function 'DoTraverse' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
missingOverride,auxil/binpac/src/pac_let.h,38,7,"The function 'Prepare' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
missingOverride,auxil/binpac/src/pac_let.h,39,7,"The function 'GenForwardDeclaration' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
missingOverride,auxil/binpac/src/pac_let.h,40,7,"The function 'GenCode' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
missingOverride,auxil/binpac/src/pac_let.h,41,7,"The function 'GenEval' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
badBitmaskCheck,auxil/binpac/src/pac_let.cc,16,43,"Operator '|' with one operand equal to zero is redundant.",cppcheck,badBitmaskCheck,EXP46-C
passedByValue,auxil/binpac/src/pac_let.cc,11,50,"Function parameter 'prefix' should be passed by const reference.",cppcheck,passedByValue,NONE
noValidConfiguration,auxil/broker/tests/cpp/alm/multipath.cc,0,0,"This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.",cppcheck,noValidConfiguration,NONE
noValidConfiguration,auxil/broker/caf/libcaf_core/src/actor_system.cpp,0,0,"This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.",cppcheck,noValidConfiguration,NONE
noExplicitConstructor,auxil/binpac/src/pac_primitive.h,31,2,"Class 'PPVal' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/binpac/src/pac_primitive.h,43,2,"Class 'PPSet' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/binpac/src/pac_primitive.h,55,2,"Class 'PPType' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
missingOverride,auxil/binpac/src/pac_primitive.h,34,9,"The function 'ToCode' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
missingOverride,auxil/binpac/src/pac_primitive.h,46,9,"The function 'ToCode' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
missingOverride,auxil/binpac/src/pac_primitive.h,58,9,"The function 'ToCode' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
missingOverride,auxil/binpac/src/pac_primitive.h,71,9,"The function 'ToCode' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
noValidConfiguration,auxil/broker/src/internal/flare_actor.cc,0,0,"This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.",cppcheck,noValidConfiguration,NONE
noValidConfiguration,auxil/broker/tests/cpp/subscriber.cc,0,0,"This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.",cppcheck,noValidConfiguration,NONE
constParameter,auxil/broker/caf/libcaf_core/src/detail/monotonic_buffer_resource.cpp,68,50,"Parameter 'where' can be declared as reference to const",cppcheck,constParameter,DCL00-C
constParameter,auxil/broker/caf/libcaf_core/src/detail/monotonic_buffer_resource.cpp,148,49,"Parameter 'bkt' can be declared as reference to const",cppcheck,constParameter,DCL00-C
noValidConfiguration,auxil/broker/caf/libcaf_core/src/actor_companion.cpp,0,0,"This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.",cppcheck,noValidConfiguration,NONE
